ref,Age ,Sex,Monthly Income ,Marital status,Service plan,Extra useage
1,54,FEMALE ,3000,YES ,100,0
2,59,FEMALE ,4000,NO ,600,54
3,38,MALE ,7800,NO ,200,31
4,18,FEMALE ,8500,NO ,600,311
5,27,MALE ,14000,YES ,100,211
6,29,FEMALE ,31000,YES ,1600,25
7,17,MALE ,7500,NO ,600,254
8,22,FEMALE ,7900,NO ,200,31
9,34,MALE ,24700,NO ,100,7
10,46,FEMALE ,31110,YES ,600,0
11,39,FEMALE ,21000,YES ,800,64
12,35,FEMALE ,30000,NO ,1600,0
13,39,MALE ,40500,YES ,1600,50
14,18,MALE ,7800,NO ,1000,290
15,22,MALE ,18000,YES ,400,303
